Doctor,D0,Dr. Parker,parker123@gmail.com,Cardiologist,Neurologist,Gastroenterologist
Doctor,D1,Dr. Lee,lee_doctor@gmail.com,Psychiatrist,Dermatologist
Doctor,D2,Dr. Johnson,johnson_doctor@gmail.com,Orthopedic Surgeon,Radiologist,Anesthesiologist
Doctor,D3,Dr. Rodriguez,rodriguez_doctor@yahoo.com,Oncologist,Endocrinologist
Doctor,D4,Dr. Nguyen,nguyen_doctor@hotmail.com,Cardiologist,Neurologist,Hematologist
Doctor,D5,Dr. Ani Raluca,raluca@gmail.com,Dentist
Doctor,D6,Eduard,Grigore,Betiv
Doctor,D7,Dr. Matinca,matinca@gmail.com
Doctor,D8,Paola,paola@gmail.com,Stomatolog
Doctor,D9,Dr. Murariu Andrei,andrei@gmail.com,Physiotherapist
Doctor,D10,Dr. Serban,serban@gmail.com,Gamer
Nurse,N0,Jessica Smith,jessica_smith@gmail.com,5
Nurse,N1,Emily Williams,emily.williams@gmail.com,8
Nurse,N2,William Davis,william_davis@hotmail.com,4
Nurse,N3,Elizabeth Jackson,elizabeth.jackson@gmail.com,3
Nurse,N4,Michael Johnson,michael_johnson@gmail.com,6
Nurse,N5,Olanica Eduard,eduard69@gmail.com,6
Nurse,N6,Serban,Grigore,9
Nurse,N7,Gabriela,gabriela@gmail.com,1
